time,theta,q,e,H
0.038,0.0367676001621437,0.935610316006922,-0.721681887564784,1
0.039,0.0377023821544622,0.933953990973041,-0.721404155478453,1
0.04,0.0386355087884933,0.932299599149666,-0.721126183242147,1
0.041,0.0395669819966009,0.930647138844237,-0.72084797154919,1
0.042,0.0404968037094572,0.928996608365192,-0.720569521091944,1
0.043,0.0414249758560432,0.927348006021968,-0.720290832561813,1
0.044,0.0423515003636499,0.925701330125003,-0.720011906649242,1
0.045,0.0432763791578791,0.924056578985732,-0.719732744043718,1
0.046,0.0441996141626447,0.922413750916589,-0.719453345433771,1
0.047,0.0451212073001735,0.920772844231009,-0.719173711506976,1
0.048,0.046041160491006,0.919133857243424,-0.718893842949952,1
0.049,0.0469594756539981,0.917496788269266,-0.718613740448365,1
0.05,0.0478761547063212,0.915861635624965,-0.71833340468693,1
0.051,0.0487911995634638,0.914228397627952,-0.718052836349407,1
0.052,0.0497046121392323,0.912597072596653,-0.717772036118606,1
0.053,0.0506163943457521,0.910967658850497,-0.717491004676388,1
0.054,0.0515265480934685,0.909340154709908,-0.717209742703664,1
0.055,0.0524350752911476,0.907714558496311,-0.716928250880399,1
0.056,0.0533419778458776,0.906090868532129,-0.716646529885608,1
0.057,0.0542472576630695,0.904469083140782,-0.716364580397361,1
0.058,0.0551509166464582,0.902849200646692,-0.716082403092784,1
0.059,0.0560529566981038,0.901231219375276,-0.715799998648059,1
0.06,0.0569533797183918,0.899615137652951,-0.715517367738421,1
0.061,0.0578521876060352,0.898000953807131,-0.715234511038168,1
0.062,0.0587493822580744,0.896388666166231,-0.714951429220652,1
0.063,0.0596449655698791,0.894778273059661,-0.714668122958289,1
0.064,0.0605389394351486,0.893169772817831,-0.714384592922553,1
0.065,0.0614313057459134,0.891563163772149,-0.714100839783978,1
0.066,0.0623220663925358,0.889958444255021,-0.713816864212165,1
0.067,0.0632112232637108,0.888355612599849,-0.713532666875775,1
0.068,0.0640987782464676,0.886754667141036,-0.713248248442534,1
0.069,0.0649847332261701,0.885155606213981,-0.712963609579234,1
0.07,0.0658690900865183,0.883558428155082,-0.712678750951734,1
0.071,0.0667518507095488,0.881963131301732,-0.712393673224958,1
0.072,0.0676330169756364,0.880369713992326,-0.7121083770629,1
0.073,0.0685125907634946,0.878778174566252,-0.711822863128623,1
0.074,0.0693905739501768,0.877188511363898,-0.71153713208426,1
0.075,0.0702669684110774,0.87560072272665,-0.711251184591014,1
0.076,0.0711417760199326,0.87401480699689,-0.710965021309162,1
0.077,0.0720149986488215,0.872430762517997,-0.710678642898053,1
0.078,0.072886638168167,0.87084858763435,-0.710392050016109,1
0.079,0.073756696446737,0.869268280691321,-0.710105243320828,1
0.08,0.0746251753516453,0.867689840035282,-0.709818223468783,1
0.081,0.0754920767483524,0.866113264013602,-0.709530991115626,1
0.082,0.0763574025006667,0.864538550974645,-0.709243546916082,1
0.083,0.0772211544707457,0.862965699267774,-0.70895589152396,1
0.084,0.0780833345190964,0.861394707243347,-0.708668025592145,1
0.085,0.078943944504577,0.859825573252721,-0.708379949772604,1
0.086,0.0798029862843972,0.858258295648247,-0.708091664716385,1
0.087,0.08066046171412,0.856692872783274,-0.707803171073617,1
0.088,0.0815163726476617,0.855129303012148,-0.707514469493516,1
0.089,0.082370720937294,0.853567584690209,-0.707225560624378,1
0.09,0.083223508433644,0.852007716173797,-0.706936445113587,1
0.091,0.0840747369856959,0.850449695820245,-0.706647123607613,1
0.092,0.0849244084407916,0.848893521987884,-0.706357596752011,1
0.093,0.0857725246446318,0.84733919303604,-0.706067865191426,1
0.094,0.0866190874412772,0.845786707325036,-0.705777929569592,1
0.095,0.0874640986731493,0.84423606321619,-0.705487790529331,1
0.096,0.0883075601810311,0.842687259071816,-0.705197448712558,1
0.097,0.0891494738040688,0.841140293255224,-0.704906904760278,1
0.098,0.0899898413797723,0.83959516413072,-0.704616159312589,1
0.099,0.0908286647440161,0.838051870063604,-0.704325213008685,1
0.1,0.0916659457310407,0.836510409420173,-0.704034066486851,1
0.101,0.0925016861734534,0.83497078056772,-0.703742720384468,1
0.102,0.0933358879022292,0.83343298187453,-0.703451175338016,1
0.103,0.094168552746712,0.831897011709888,-0.703159431983071,1
0.104,0.0949996825346153,0.830362868444069,-0.702867490954306,1
0.105,0.0958292790920235,0.828830550448348,-0.702575352885493,1
0.106,0.0966573442433927,0.82730005609499,-0.702283018409508,1
0.107,0.097483879811552,0.825771383757259,-0.701990488158322,1
0.108,0.0983088876177039,0.82424453180941,-0.701697762763014,1
0.109,0.0991323694814259,0.822719498626697,-0.701404842853761,1
0.11,0.0999543272206711,0.821196282585364,-0.701111729059847,1
0.111,0.100774762651769,0.819674882062652,-0.700818422009658,1
0.112,0.101593677589429,0.818155295436797,-0.700524922330689,1
0.113,0.102411073846735,0.816637521087026,-0.700231230649539,1
0.114,0.103226953235155,0.815121557393564,-0.699937347591914,1
0.115,0.104041317564535,0.813607402737627,-0.699643273782631,1
0.116,0.104854168643103,0.812095055501426,-0.699349009845614,1
0.117,0.105665508277472,0.810584514068166,-0.699054556403899,1
0.118,0.106475338272635,0.809075776822047,-0.698759914079631,1
0.119,0.107283660431973,0.807568842148259,-0.69846508349407,1
0.12,0.108090476557251,0.80606370843299,-0.698170065267585,1
0.121,0.108895788448621,0.804560374063417,-0.697874860019664,1
0.122,0.109699597904623,0.803058837427713,-0.697579468368904,1
0.123,0.110501906722184,0.801559096915044,-0.697283890933022,1
0.124,0.111302716696624,0.800061150915569,-0.696988128328851,1
0.125,0.11210202962165,0.798564997820438,-0.696692181172341,1
0.126,0.112899847289364,0.797070636021797,-0.696396050078559,1
0.127,0.113696171490257,0.795578063912782,-0.696099735661693,1
0.128,0.114491004013217,0.794087279887523,-0.695803238535052,1
0.129,0.115284346645525,0.792598282341143,-0.695506559311064,1
0.13,0.116076201172858,0.791111069669756,-0.695209698601281,1
0.131,0.116866569379289,0.789625640270469,-0.694912657016377,1
0.132,0.117655453047289,0.788141992541381,-0.694615435166151,1
0.133,0.118442853957728,0.786660124881583,-0.694318033659524,1
0.134,0.119228773889875,0.785180035691158,-0.694020453104547,1
0.135,0.1200132146214,0.783701723371182,-0.693722694108395,1
0.136,0.120796177928375,0.78222518632372,-0.69342475727737,1
0.137,0.121577665585273,0.780750422951831,-0.693126643216903,1
0.138,0.122357679364972,0.779277431659564,-0.692828352531556,1
